name,country,mouse,dpi,sens
soulcas,United Kingdom,ZOWIE EC3-CW,400,0.44
Less,Brazil,Logitech G Pro X Superlight Magenta,800,0.32
7ssk7,Belarus,Razer Deathadder V3 Pro Black,800,0.3
Meddo,Sweden,Logitech G Pro X Superlight Black,800,0.25
latto,Brazil,Logitech G Pro X Superlight Black,400,2.0
coldzera,Brazil,Logitech G Pro X Superlight Black,800,1.1
slaxz,Germany,FinalMouse Starlight-12,400,2.25
ImperialHal,United States,Logitech G Pro X Superlight Magenta,800,1.1
nqz,Brazil,Logitech G Pro X Superlight Magenta,800,1.2
Khanada,United States,Logitech G Pro X Superlight Black,800,0.617
BraveAF,Russia,Logitech G Pro X Superlight Black,400,0.785
Zachmazer,United States,Logitech G Pro X Superlight Black,400,1.9
DANK1NG,China,Logitech G Pro X Superlight Red,400,2.0
SLOWLY,China,ZOWIE EC3-C,400,1.5
AslaN,Germany,Razer Deathadder V3 Pro Black,400,0.6
Annihilation,Mongolia,Logitech G Pro X Superlight White,400,1.48
cauanzin,Brazil,VAXEE XE Black,800,0.28
Freeman,Hong Kong SAR China,ZOWIE FK1,400,2.2
BONECOLD,Finland,Razer Deathadder V3 Pro Black,800,0.27
Saadhak,Argentina,VAXEE XE Wireless Yellow,1600,0.23
xms,France,Razer Viper V2 Pro Black,800,0.45
Kyojin,France,ZOWIE EC2-CW,400,2.0
Neityu,France,Razer Deathadder V3 Pro White,400,1.5
jzz,Brazil,Logitech G Pro X Superlight Red,800,0.3
fl1pzjder,Indonesia,Razer Deathadder V3 Pro White,400,0.534
Thenderlost,Turkey,Razer Deathadder V3 Pro Black,400,1.714
PoPiFresH,Spain,VAXEE OUTSET AX Funspark,800,0.39
Neptuno,Spain,Logitech G305,800,0.3
UNFAKE,Poland,Logitech G Pro X Superlight Black,800,0.3
H1ber,Finland,Logitech G Pro X Superlight Black,400,0.67
dapr,United States,Logitech G Pro X Superlight Black,400,0.66
Ftyan,Japan,Lamzu Atlantis,800,1.4
Tfue,United States,FinalMouse Starlight Pro,400,6.19
